token,startTime,endTime,confidence
"знаю",83.280,83.600,1.0000
"ничего.",83.600,85.360,0.9980
"То,",85.360,85.680,0.9854
"что",85.680,85.840,1.0000
"мы",85.840,86.000,1.0000
"введим",86.000,86.640,0.8457
"у",86.640,86.720,1.0000
"себя,",86.720,87.280,0.9950
"это",87.280,87.520,1.0000
"как",87.520,87.760,1.0000
"бы",87.760,88.000,1.0000
"версия",88.000,88.640,0.9842
"для",88.640,88.800,1.0000
"экспорта.",88.800,90.080,0.9931
"Настоящие",90.080,90.880,0.9978
"суши",91.040,91.600,0.9998
"в",91.600,91.760,0.9985
"Токио",91.760,92.400,0.9888
"это",92.560,92.880,1.0000
"другая",92.880,93.360,1.0000
"еда.",93.360,94.000,0.9998
"Рис",94.320,94.800,0.9997
"теплый,",94.800,95.600,0.9999
"рыбонарезана",95.600,96.560,0.8711
"по-другому,",96.560,97.520,0.9899
"соевого",97.520,98.000,0.9871
"соуса",98.160,98.720,1.0000
"почти",98.720,99.200,1.0000
"нет.",99.200,100.160,1.0000
"Я",100.480,100.800,1.0000
"первые",100.960,101.440,1.0000
"два",101.440,101.520,1.0000
"дня",101.680,102.000,1.0000
"просто",102.000,102.240,1.0000
"ходил",102.240,102.640,1.0000
"по",102.640,102.800,1.0000
"разным",102.800,103.200,1.0000
"местам",103.200,103.600,1.0000
"и",103.600,103.760,1.0000
"ел",103.760,104.160,1.0000
"все",104.160,104.400,1.0000
"подряд,",104.400,105.280,0.9901
"чтобы",105.280,105.600,1.0000
"понять,",105.600,106.240,1.0000
"насколько",106.240,107.040,0.9993
"это",107.040,107.200,1.0000
"все",107.200,107.520,1.0000
"отличается,",107.520,108.880,0.9371
"это",109.440,109.760,0.9995
"реально",110.480,110.880,1.0000
"расширяет",111.040,111.840,1.0000
"понимание",111.840,112.560,1.0000
"возможностей",112.560,113.440,0.9764
"одного",113.440,113.920,1.0000
"блюда.",113.920,115.040,0.9993
"Что",115.840,116.160,1.0000
"меня",116.160,116.400,1.0000
"немного",116.400,116.880,1.0000
"разочаровало",116.880,117.760,1.0000
"-",118.080,118.400,0.9233
"это",118.400,118.720,0.9976
"типа",118.720,119.040,0.9792
"языковой",119.200,119.680,1.0000
"барьер.",119.760,120.720,0.9996
"Я",121.040,121.280,1.0000
"учил",121.280,121.760,1.0000
"базовые",121.760,122.320,1.0000
"фразы.",122.320,122.960,0.9933
"Думал,",122.960,123.520,0.9805
"этого",123.520,123.840,0.9961
"хватит.",123.920,124.800,0.9358
"Не",125.120,125.360,1.0000
"хватило.",125.360,126.560,0.9995
"В",126.880,127.120,1.0000
"туристических",127.120,128.080,1.0000
"местах",128.080,128.720,1.0000
"все",128.720,129.040,1.0000
"говорят",129.040,129.440,1.0000
"по-английски.",129.440,130.640,0.9992
"Но",130.720,130.880,1.0000
"стоит",130.880,131.360,1.0000
"отойти",131.360,131.840,1.0000
"на",131.840,132.000,1.0000
"три",132.000,132.080,0.9653
"квартала",132.240,132.960,1.0000
"в",132.960,133.040,1.0000
"сторону",133.040,133.600,1.0000
"и",133.680,134.000,1.0000
"все.",134.000,134.560,0.9446
"Ты",134.880,135.360,1.0000
"там",135.360,135.680,1.0000
"сам",135.840,136.240,1.0000
"по",136.240,136.560,1.0000
"себе!",136.560,137.520,0.8472
"Пришлось",137.760,138.400,1.0000
"быстро",138.400,138.800,1.0000
"адаптироваться,",138.800,139.840,0.9888
"использовать",139.840,140.480,1.0000
"переводчик",140.480,141.120,0.9995
"в",141.120,141.280,1.0000
"телефоне,",141.280,142.240,0.9863
"рисовать",142.240,142.800,1.0000
"на",142.800,142.960,1.0000
"салфетках.",142.960,144.080,0.9707
"И",144.080,144.320,1.0000
"знаешь,",144.320,145.120,1.0000
"это",145.120,145.360,1.0000
"даже",145.360,145.840,1.0000
"было",145.840,146.160,0.9995
"интересно.",146.160,147.360,0.9996
"Какое-то",148.000,148.880,0.9992
"такое",148.880,149.280,1.0000
"ощущение,",149.280,150.160,1.0000
"что",150.160,150.320,1.0000
"ты",150.320,150.560,1.0000
"заново",150.560,151.120,1.0000
"учишься",151.120,151.760,1.0000
"общаться.",151.760,152.720,0.9999
"Короче,",153.040,153.680,1.0000
"поездка",153.680,154.400,1.0000
"получилась",154.400,155.040,1.0000
"не",155.040,155.200,1.0000
"той,",155.200,155.440,0.9243
"что",155.440,155.600,1.0000
"я",155.600,155.760,1.0000
"планировал",155.760,156.480,0.9999
"но",156.640,156.800,1.0000
"в",156.800,156.960,1.0000
"итоге",156.960,157.600,0.9998
"это",157.920,158.160,1.0000
"наверное",158.160,158.560,0.9777
"было",158.720,158.960,1.0000
"даже",158.960,159.280,1.0000
"лучше",159.280,160.000,1.0000
"следующий",160.320,160.880,0.9980
"раз",161.120,161.440,1.0000
"поеду",161.440,162.160,1.0000
"на",162.160,162.400,1.0000
"месяц",162.400,162.960,1.0000
"минимум",162.960,164.000,1.0000
