token,startTime,endTime,confidence
"эти",35.360,35.520,1.0000
"10",35.520,35.760,0.9998
"часов",35.760,36.080,1.0000
"я",36.080,36.240,1.0000
"сделал",36.240,36.560,0.9929
"больше,",36.560,36.880,0.9998
"чем",36.880,37.120,1.0000
"за",37.120,37.200,1.0000
"2",37.200,37.440,0.9216
"предыдущие",37.440,37.840,0.9999
"недели",37.840,38.160,1.0000
"вместе",38.160,38.480,0.9071
"взятые.",38.560,39.280,0.9998
"Сложность",39.280,39.680,1.0000
"в",39.760,39.840,1.0000
"том,",39.840,40.000,0.7739
"что",40.000,40.080,0.4685
"приходится",40.320,40.960,0.9621
"защищать",40.960,41.520,0.9518
"это",41.520,41.760,1.0000
"время,",41.760,42.080,1.0000
"когда",42.080,42.320,1.0000
"другие",42.320,42.640,1.0000
"люди",42.640,42.880,1.0000
"хотят",42.880,43.200,1.0000
"его",43.200,43.440,1.0000
"забрать.",43.440,44.240,1.0000
"Менеджер",44.240,44.800,0.9994
"отнесся",44.800,45.440,0.9976
"нормально,",45.440,46.000,0.9800
"но",46.000,46.160,1.0000
"коллеги",46.160,46.480,1.0000
"начали",46.560,46.880,1.0000
"возмущаться",46.880,47.440,1.0000
"-",47.440,47.520,0.6255
"типа",47.520,47.680,0.9971
"мы",47.840,48.000,0.9985
"должны",48.000,48.400,1.0000
"быть",48.400,48.560,1.0000
"на",48.560,48.640,1.0000
"связи,",48.640,49.120,1.0000
"чтобы",49.120,49.360,1.0000
"вместе",49.360,49.840,0.9998
"работать.",49.840,50.720,1.0000
"Короче,",50.720,51.280,1.0000
"главный",51.280,51.680,1.0000
"урок",51.680,52.000,1.0000
"такой.",52.000,52.480,0.9069
"Быть",52.480,52.800,0.9998
"постоянно",52.720,53.120,0.9683
"на",53.120,53.200,0.9995
"связи",53.200,53.440,1.0000
"кажется",53.760,54.160,1.0000
"продуктивным,",54.160,54.880,0.9926
"но",54.880,55.040,1.0000
"на",55.040,55.120,0.9917
"самом",55.120,55.360,1.0000
"деле",55.360,55.680,1.0000
"нет.",55.680,56.240,1.0000
"Ну,",56.240,56.560,0.7610
"ответить",56.720,57.360,0.9991
"на",57.360,57.600,1.0000
"сообщение",57.600,58.160,0.9432
"за",58.160,58.320,1.0000
"2",58.320,58.560,0.9968
"минуты",58.560,58.960,1.0000
"-",58.960,59.040,0.9912
"это",59.040,59.280,1.0000
"вроде",59.280,59.600,0.8055
"бы",59.760,59.840,0.9995
"здорово.",59.920,60.560,0.9995
"Но",60.560,60.720,1.0000
"если",60.720,60.880,1.0000
"я",60.880,61.040,1.0000
"делаю",61.040,61.360,0.9968
"это",61.360,61.520,1.0000
"50",61.520,62.000,0.9998
"раз",62.000,62.160,0.9995
"в",62.320,62.400,1.0000
"день,",62.400,62.720,0.9998
"то",62.720,62.880,1.0000
"получается,",62.880,63.520,0.9996
"что",63.520,63.680,1.0000
"я",63.680,64.000,1.0000
"просто",64.000,64.320,1.0000
"час",64.640,64.800,0.9995
"тратил",64.960,65.360,0.9998
"на",65.360,65.520,1.0000
"переключение",65.520,65.920,0.9284
"контекста.",66.080,68.160,0.8644
