token,startTime,endTime,confidence
"Привыкаешь",60.160,60.960,1.0000
"к",60.960,61.120,1.0000
"ней",61.120,61.680,1.0000
"дня",61.680,62.160,1.0000
"через",62.160,62.480,1.0000
"три.",62.480,64.400,0.7925
"Еда",69.200,69.840,0.9998
"это",70.400,70.640,0.9956
"отдельная",70.640,71.440,1.0000
"тема.",71.440,72.240,0.9948
"Я",72.240,72.560,1.0000
"думал,",72.560,72.960,0.9995
"что",72.960,73.200,1.0000
"знаю,",73.200,73.680,0.9915
"что",73.680,73.840,1.0000
"такое",73.840,74.240,1.0000
"суши,",74.240,74.880,0.9993
"потому",74.880,75.200,1.0000
"что",75.200,75.280,1.0000
"в",75.280,75.440,1.0000
"Москве",75.440,76.080,0.9995
"есть",76.080,76.320,1.0000
"нормальные",76.320,77.040,1.0000
"японские",77.040,77.680,1.0000
"рестораны.",77.680,78.800,0.9986
"Короче,",78.880,79.920,0.9999
"оказалось,",79.920,80.800,0.9999
"что",80.800,81.040,1.0000
"я",81.040,81.200,1.0000
"не",81.200,81.360,1.0000
"знал",81.360,81.840,1.0000
"ничего,",81.840,83.120,0.9753
"то,",83.120,83.520,0.9849
"что",83.520,83.680,1.0000
"мы",83.680,83.920,1.0000
"едим",83.920,84.400,1.0000
"у",84.400,84.640,1.0000
"себя",84.640,85.200,1.0000
"-",85.200,85.520,0.5386
"это",85.520,85.760,1.0000
"как",85.760,86.080,1.0000
"бы",86.080,86.400,1.0000
"версия",86.400,87.120,1.0000
"для",87.120,87.360,1.0000
"экспорта.",87.360,88.720,0.9849
"Настоящие",88.720,89.520,0.9478
"суши",89.520,90.000,0.9973
"в",90.000,90.160,1.0000
"Токио",90.160,90.640,0.9484
"-",90.640,90.800,0.9951
"это",90.800,90.960,0.9419
"другая",91.200,91.680,1.0000
"еда",91.680,92.080,1.0000
"Рис",92.800,93.200,0.9989
"теплый,",93.360,94.240,0.9992
"рыбы",94.240,94.720,0.8854
"нарезаны",94.720,95.360,0.9392
"по-другому,",95.360,96.320,0.9992
"совы",96.320,96.720,0.9971
"соуса",96.880,97.280,0.9982
"почти",97.360,97.760,1.0000
"нет.",97.760,98.480,0.9992
"Я",98.480,98.720,1.0000
"первые",98.720,99.120,1.0000
"два",99.120,99.280,0.9990
"дня",99.440,99.840,1.0000
"просто",99.840,100.080,1.0000
"ходил",100.080,100.560,1.0000
"по",100.560,100.720,1.0000
"разным",100.720,101.120,1.0000
"местам",101.120,101.600,1.0000
"и",101.600,101.840,1.0000
"ел",101.840,102.320,1.0000
"все",102.320,102.560,1.0000
"подряд,",102.560,103.360,1.0000
"чтобы",103.360,103.680,1.0000
"понять,",103.680,104.080,1.0000
"насколько",104.080,104.640,0.9998
"это",104.640,104.800,1.0000
"все",105.120,105.360,1.0000
"отличается,",105.360,106.720,0.9999
"это",107.040,107.360,0.9976
"реально",108.400,109.120,1.0000
"расширяет",109.120,110.000,1.0000
"понимание",110.000,110.720,1.0000
"возможностей",110.720,111.520,0.9858
"одного",111.520,112.000,1.0000
"блюда.",112.000,113.120,1.0000
"Что",113.440,113.920,1.0000
"меня",113.920,114.160,1.0000
"немного",114.160,114.560,1.0000
"разочаровало,",114.560,115.840,0.9993
"этот",116.080,116.400,0.7197
"тип",116.400,116.640,0.7913
"языковой",116.800,117.280,0.9998
"барьер.",117.360,118.320,0.9132
"Я",118.640,118.960,1.0000
"учил",118.960,119.520,1.0000
"базовые",119.520,120.160,1.0000
"фразы.",120.160,121.040,0.9858
"Думал,",121.040,121.600,0.9999
"что",121.600,121.840,1.0000
"этого",121.840,122.160,1.0000
"хватит.",122.160,123.200,0.9998
"Не",123.200,123.440,1.0000
"хватило.",123.440,124.400,0.9984
"В",124.640,124.880,1.0000
"туристических",124.880,125.680,1.0000
"местах",125.680,126.320,1.0000
"все",126.320,126.560,1.0000
"говорят",126.560,126.880,0.9999
"по-английски.",127.040,128.320,0.9941
"Но",128.320,128.560,1.0000
"стоит",128.560,128.960,1.0000
"отойти",128.960,129.440,1.0000
"на",129.440,129.600,1.0000
"три",129.600,129.680,0.9971
"квартала",129.840,130.400,1.0000
"в",130.400,130.480,1.0000
"сторону,",130.480,131.360,0.9948
"и",131.360,131.680,1.0000
"все.",131.680,132.160,0.8357
"Ты",132.400,132.720,0.9998
"сам",132.720,133.040,1.0000
"по",133.040,133.360,1.0000
"себе",133.360,133.680,0.9966
"пришлось",134.080,134.720,0.9997
"быстро",134.720,135.120,1.0000
"адаптироваться.",135.120,136.080,0.9820
"Использовать",136.080,136.640,0.9999
"переводчик",136.640,137.280,0.9989
"в",137.280,137.440,1.0000
"телефоне.",137.440,138.320,0.9967
"Рисовать",138.320,138.960,0.9999
"на",138.960,139.120,1.0000
"салфетках.",139.120,140.160,0.9934
"И",140.160,140.400,0.7817
"знаешь,",140.400,141.120,0.9996
"это",141.120,141.360,1.0000
"даже",141.360,141.760,1.0000
"было",141.760,142.000,1.0000
"интересно.",142.000,143.280,1.0000
"Какое-то",143.920,144.800,0.9959
"такое",144.800,145.360,1.0000
"ощущение,",145.360,146.400,1.0000
"что",146.400,146.560,1.0000
"ты",146.560,146.880,1.0000
"заново",146.880,147.440,1.0000
"учишься",147.440,148.240,1.0000
"общаться.",148.240,149.360,0.8795
"Короче,",149.680,150.720,1.0000
"поездка",150.720,151.520,1.0000
"получилась",151.520,152.320,0.9998
"не",152.320,152.480,1.0000
"то,",152.480,152.800,0.9976
"что",152.800,153.040,1.0000
"я",153.040,153.200,1.0000
"планировал.",153.200,154.240,1.0000
"Но",154.240,154.480,1.0000
"в",154.480,154.640,1.0000
"итоге",154.640,155.200,1.0000
"это,",155.440,155.680,0.9871
"наверное,",155.680,156.080,1.0000
"было",156.080,156.320,1.0000
"даже",156.640,156.960,1.0000
"лучше",156.960,157.680,1.0000
"в",157.920,158.080,0.9160
"следующий",158.080,158.880,1.0000
"раз",158.880,159.200,1.0000
"поеду",159.200,160.000,0.9912
"на",160.000,160.160,1.0000
"месяц",160.160,160.880,1.0000
"минимум",160.880,161.920,1.0000
