update_index,emission_ms,gap_from_previous_ms,text,is_confirmed,confidence
78,42647.11797237396,524.0750312805176,"for 30 seconds. Don't waste your time.",0,0.63992995
79,43199.360966682434,552.2429943084717,"30 seconds. Don't whisper. Just pick",0,0.75324416
80,43703.74000072479,504.3790340423584,"seconds don't whisper just pick soft",0,0.7603236
81,44234.455943107605,530.7159423828125,"Don't whisper, just pick softly.",0,0.7619457
82,44763.83399963379,529.3780565261841,"Don't whisper, just speak softly.",0,0.82572544
83,46360.88800430298,1597.0540046691895,"spur just pick softly and",0,0.6620117
84,46790.37296772003,429.4849634170532,"just pick softly and",0,0.7508247
85,47633.36491584778,842.9919481277466,"pick softly and",0,0.5751322
86,48054.38792705536,421.02301120758057,"hopefully and",0,0.90982985
87,48397.55296707153,343.1650400161743,"and",0,0.4863123
88,49577.95000076294,1180.3970336914062,"And...",0,0.5495483
89,49957.435965538025,379.48596477508545,"Thanks.",0,0.63978684
90,50480.16691207886,522.7309465408325,"(keyboard clicking)",1,0.87550956
